Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 34,0.9901970624923706,1,0,0,153,1,127,0.9935064935064936,0.3695652173913043,0.5387323943661971
Image 9,0.9898185133934021,1,0,0,154,1,127,0.9935483870967742,0.3719806763285024,0.5413005272407733
Image 19,0.9895031452178955,1,0,0,155,1,127,0.9935897435897436,0.3743961352657005,0.543859649122807
Image 21,0.9890924692153931,1,0,0,156,1,127,0.9936305732484076,0.37681159420289856,0.5464098073555166
Image 115,0.9890727400779724,1,0,1,157,1,128,0.9936708860759493,0.37922705314009664,0.548951048951049
Image 121,0.988935649394989,1,0,0,158,1,128,0.9937106918238994,0.38164251207729466,0.5514834205933683
Image 83,0.9884174466133118,1,0,0,159,1,128,0.99375,0.38405797101449274,0.554006968641115
Image 59,0.9883231520652771,1,0,0,160,1,128,0.9937888198757764,0.3864734299516908,0.5565217391304348
Image 94,0.9882821440696716,1,0,0,161,1,128,0.9938271604938271,0.3888888888888889,0.5590277777777778
Image 60,0.9877318143844604,1,0,0,162,1,128,0.9938650306748467,0.391304347826087,0.561525129982669
Image 11,0.9876589179039001,1,0,0,163,1,128,0.9939024390243902,0.39371980676328505,0.5640138408304498
Image 42,0.9875221848487854,1,0,0,164,1,128,0.9939393939393939,0.3961352657004831,0.5664939550949913
Image 32,0.9872129559516907,1,0,0,165,1,128,0.9939759036144579,0.39855072463768115,0.5689655172413793
Image 91,0.986523449420929,1,0,0,166,1,128,0.9940119760479041,0.40096618357487923,0.5714285714285714
Image 53,0.986289918422699,1,0,0,167,1,128,0.9940476190476191,0.4033816425120773,0.5738831615120275
Image 69,0.9852929711341858,1,0,8,168,1,136,0.9940828402366864,0.4057971014492754,0.5763293310463121
Image 62,0.9843968749046326,1,0,0,169,1,136,0.9941176470588236,0.4082125603864734,0.5787671232876712
Image 66,0.9839387536048889,1,0,0,170,1,136,0.9941520467836257,0.4106280193236715,0.5811965811965811
Image 50,0.9836996793746948,1,0,0,171,1,136,0.9941860465116279,0.41304347826086957,0.583617747440273
Image 17,0.9834563136100769,1,0,1,172,1,137,0.9942196531791907,0.41545893719806765,0.58603066439523
Image 72,0.9834201335906982,1,0,0,173,1,137,0.9942528735632183,0.4178743961352657,0.5884353741496599
Image 86,0.982982873916626,1,0,0,174,1,137,0.9942857142857143,0.42028985507246375,0.5908319185059422
Image 28,0.9820625185966492,1,0,0,175,1,137,0.9943181818181818,0.4227053140096618,0.5932203389830508
Image 115,0.9816908240318298,1,0,0,176,1,137,0.9943502824858758,0.4251207729468599,0.5956006768189509
Image 69,0.9803674221038818,1,0,0,177,1,137,0.9943820224719101,0.427536231884058,0.5979729729729729
Image 117,0.9798271656036377,1,0,1,178,1,138,0.994413407821229,0.42995169082125606,0.6003372681281619
Image 76,0.9795845746994019,1,0,0,179,1,138,0.9944444444444445,0.4323671497584541,0.6026936026936027
Image 103,0.9791752696037292,1,0,0,180,1,138,0.994475138121547,0.43478260869565216,0.6050420168067226
Image 78,0.9779958724975586,1,0,0,181,1,138,0.9945054945054945,0.43719806763285024,0.6073825503355705
Image 65,0.9769412875175476,1,0,0,182,1,138,0.994535519125683,0.4396135265700483,0.609715242881072
Image 119,0.9753156304359436,1,0,0,183,1,138,0.9945652173913043,0.4420289855072464,0.6120401337792641
Image 26,0.9748479127883911,1,0,0,184,1,138,0.9945945945945946,0.4444444444444444,0.6143572621035058
Image 19,0.9742950201034546,1,0,0,185,1,138,0.9946236559139785,0.4468599033816425,0.6166666666666667
Image 116,0.9734588265419006,1,0,0,186,1,138,0.9946524064171123,0.4492753623188406,0.6189683860232945
Image 93,0.9728826880455017,1,0,0,187,1,138,0.9946808510638298,0.45169082125603865,0.6212624584717609
Image 24,0.9714672565460205,1,0,0,188,1,138,0.9947089947089947,0.45410628019323673,0.6235489220563848
Image 22,0.9693177938461304,1,0,0,189,1,138,0.9947368421052631,0.45652173913043476,0.6258278145695364
Image 68,0.967029333114624,1,0,0,190,1,138,0.9947643979057592,0.45893719806763283,0.628099173553719
Image 110,0.9662200212478638,1,0,0,191,1,138,0.9947916666666666,0.4613526570048309,0.6303630363036303
Image 119,0.965825080871582,1,0,0,192,1,138,0.9948186528497409,0.463768115942029,0.6326194398682042
Image 127,0.9641686081886292,1,0,0,193,1,138,0.9948453608247423,0.46618357487922707,0.6348684210526315
Image 22,0.963773250579834,1,0,0,194,1,138,0.9948717948717949,0.46859903381642515,0.6371100164203612
Image 91,0.9606137871742249,1,0,0,195,1,138,0.9948979591836735,0.47101449275362317,0.6393442622950819
Image 28,0.9594276547431946,1,0,0,196,1,138,0.9949238578680203,0.47342995169082125,0.6415711947626841
Image 48,0.9582669138908386,1,0,1,197,1,139,0.9949494949494949,0.4758454106280193,0.6437908496732025
Image 126,0.9562069177627563,1,0,0,198,1,139,0.9949748743718593,0.4782608695652174,0.6460032626427407
Image 10,0.9529871940612793,1,0,0,199,1,139,0.995,0.4806763285024155,0.6482084690553747
Image 23,0.9525805115699768,1,0,0,200,1,139,0.9950248756218906,0.4830917874396135,0.6504065040650406
Image 6,0.9520867466926575,1,0,0,201,1,139,0.995049504950495,0.4855072463768116,0.6525974025974026
Image 7,0.9478287696838379,1,0,0,202,1,139,0.9950738916256158,0.48792270531400966,0.6547811993517018
Image 52,0.9475817680358887,1,0,2,203,1,141,0.9950980392156863,0.49033816425120774,0.656957928802589
Image 31,0.9446738958358765,1,0,0,204,1,141,0.9951219512195122,0.4927536231884058,0.6591276252019387
Image 60,0.9432176351547241,1,0,0,205,1,141,0.9951456310679612,0.49516908212560384,0.6612903225806451
Image 37,0.9412224888801575,1,0,0,206,1,141,0.9951690821256038,0.4975845410628019,0.6634460547504025
Image 43,0.9394993185997009,1,0,0,207,1,141,0.9951923076923077,0.5,0.6655948553054662
Image 111,0.9374656081199646,0,1,0,207,2,141,0.9904306220095693,0.5,0.6645264847512038
Image 27,0.937171995639801,1,0,0,208,2,141,0.9904761904761905,0.5024154589371981,0.6666666666666666
Image 121,0.9360707402229309,1,0,0,209,2,141,0.990521327014218,0.5048309178743962,0.6688
Image 51,0.9313070774078369,1,0,0,210,2,141,0.9905660377358491,0.5072463768115942,0.6709265175718852
Image 80,0.9282257556915283,1,0,0,211,2,141,0.9906103286384976,0.5096618357487923,0.6730462519936204
Image 126,0.9276942014694214,1,0,0,212,2,141,0.9906542056074766,0.5120772946859904,0.6751592356687899
Image 90,0.9272503852844238,1,0,0,213,2,141,0.9906976744186047,0.5144927536231884,0.6772655007949125
Image 29,0.9067444801330566,1,0,0,214,2,141,0.9907407407407407,0.5169082125603864,0.6793650793650794
Image 62,0.9049744606018066,1,0,0,215,2,141,0.9907834101382489,0.5193236714975845,0.6814580031695722
Image 107,0.9036312699317932,1,0,0,216,2,141,0.9908256880733946,0.5217391304347826,0.6835443037974684
Image 73,0.9016786813735962,1,0,0,217,2,141,0.9908675799086758,0.5241545893719807,0.6856240126382306
Image 75,0.8998224139213562,1,0,0,218,2,141,0.990909090909091,0.5265700483091788,0.6876971608832808
Image 2,0.899435818195343,1,0,0,219,2,141,0.9909502262443439,0.5289855072463768,0.6897637795275591
Image 91,0.8962781429290771,1,0,0,220,2,141,0.990990990990991,0.5314009661835749,0.6918238993710691
Image 35,0.8962340950965881,1,0,0,221,2,141,0.9910313901345291,0.533816425120773,0.693877551020408
Image 24,0.8911290168762207,1,0,0,222,2,141,0.9910714285714286,0.5362318840579711,0.6959247648902822
Image 3,0.8903772234916687,1,0,0,223,2,141,0.9911111111111112,0.538647342995169,0.6979655712050078
Image 110,0.8895984888076782,1,0,0,224,2,141,0.9911504424778761,0.5410628019323671,0.7
Image 53,0.8893409371376038,1,0,0,225,2,141,0.9911894273127754,0.5434782608695652,0.7020280811232448
Image 49,0.8882665634155273,1,0,0,226,2,141,0.9912280701754386,0.5458937198067633,0.7040498442367601
Image 55,0.8877896666526794,1,0,0,227,2,141,0.9912663755458515,0.5483091787439613,0.7060653188180405
Image 12,0.8852788209915161,1,0,0,228,2,141,0.991304347826087,0.5507246376811594,0.7080745341614907
Image 73,0.8790993690490723,1,0,0,229,2,141,0.9913419913419913,0.5531400966183575,0.7100775193798451
Image 45,0.8702237606048584,1,0,0,230,2,141,0.9913793103448276,0.5555555555555556,0.7120743034055729
Image 112,0.865081787109375,1,0,0,231,2,141,0.9914163090128756,0.5579710144927537,0.714064914992272
Image 81,0.8649542331695557,1,0,0,232,2,141,0.9914529914529915,0.5603864734299517,0.7160493827160495
Image 36,0.8632962107658386,1,0,0,233,2,141,0.9914893617021276,0.5628019323671497,0.7180277349768873
Image 20,0.862687885761261,1,0,0,234,2,141,0.9915254237288136,0.5652173913043478,0.72
Image 125,0.8620821237564087,1,0,0,235,2,141,0.9915611814345991,0.5676328502415459,0.7219662058371735
Image 78,0.8574199080467224,1,0,0,236,2,141,0.9915966386554622,0.5700483091787439,0.7239263803680982
Image 37,0.8525694608688354,1,0,0,237,2,141,0.9916317991631799,0.572463768115942,0.7258805513016846
Image 38,0.8522853255271912,1,0,0,238,2,141,0.9916666666666667,0.5748792270531401,0.72782874617737
Image 56,0.8385599255561829,1,0,0,239,2,141,0.991701244813278,0.5772946859903382,0.7297709923664123
Image 7,0.8377718925476074,1,0,0,240,2,141,0.9917355371900827,0.5797101449275363,0.7317073170731706
Image 14,0.8280028104782104,1,0,0,241,2,141,0.9917695473251029,0.5821256038647343,0.7336377473363774
Image 45,0.8169389963150024,1,0,0,242,2,141,0.9918032786885246,0.5845410628019324,0.7355623100303952
Image 14,0.815443754196167,1,0,0,243,2,141,0.9918367346938776,0.5869565217391305,0.7374810318664644
Image 38,0.8153093457221985,1,0,0,244,2,141,0.991869918699187,0.5893719806763285,0.7393939393939394
Image 53,0.8147041201591492,1,0,0,245,2,141,0.9919028340080972,0.5917874396135265,0.7413010590015129
Image 45,0.8090993165969849,1,0,0,246,2,141,0.9919354838709677,0.5942028985507246,0.7432024169184289
Image 65,0.7895497679710388,1,0,0,247,2,141,0.9919678714859438,0.5966183574879227,0.7450980392156863
Image 52,0.7680279612541199,1,0,0,248,2,141,0.992,0.5990338164251208,0.7469879518072289
Image 3,0.7644381523132324,1,0,0,249,2,141,0.9920318725099602,0.6014492753623188,0.7488721804511278
Image 110,0.7582563161849976,1,0,0,250,2,141,0.9920634920634921,0.6038647342995169,0.7507507507507507
Image 0,0.7572653889656067,1,0,0,251,2,141,0.9920948616600791,0.606280193236715,0.7526236881559221
Image 20,0.7535560131072998,1,0,0,252,2,141,0.9921259842519685,0.6086956521739131,0.7544910179640719
Image 121,0.7284836769104004,1,0,0,253,2,141,0.9921568627450981,0.6111111111111112,0.7563527653213752
Image 101,0.721681535243988,1,0,0,254,2,141,0.9921875,0.6135265700483091,0.7582089552238805
Image 3,0.7162280082702637,0,1,0,254,3,141,0.9883268482490273,0.6135265700483091,0.7570789865871832
Image 111,0.7114681601524353,1,0,0,255,3,141,0.9883720930232558,0.6159420289855072,0.7589285714285714
Image 7,0.7077166438102722,1,0,0,256,3,141,0.9884169884169884,0.6183574879227053,0.7607726597325408
Image 90,0.6819800734519958,1,0,0,257,3,141,0.9884615384615385,0.6207729468599034,0.7626112759643916
Image 98,0.6646544933319092,1,0,0,258,3,141,0.9885057471264368,0.6231884057971014,0.7644444444444445
Image 114,0.6640617251396179,0,1,0,258,4,141,0.9847328244274809,0.6231884057971014,0.7633136094674556
Image 81,0.6530941724777222,1,0,0,259,4,141,0.9847908745247148,0.6256038647342995,0.7651403249630724
Image 91,0.6432619690895081,1,0,0,260,4,141,0.9848484848484849,0.6280193236714976,0.7669616519174042
Image 6,0.635439932346344,1,0,0,261,4,141,0.9849056603773585,0.6304347826086957,0.7687776141384389
Image 41,0.6277769804000854,1,0,0,262,4,141,0.9849624060150376,0.6328502415458938,0.7705882352941176
Image 99,0.6204879879951477,1,0,0,263,4,141,0.9850187265917603,0.6352657004830918,0.7723935389133626
Image 59,0.612812340259552,1,0,0,264,4,141,0.9850746268656716,0.6376811594202898,0.7741935483870968
Image 29,0.610802948474884,1,0,0,265,4,141,0.9851301115241635,0.6400966183574879,0.7759882869692531
Image 2,0.6081995964050293,1,0,0,266,4,141,0.9851851851851852,0.642512077294686,0.7777777777777778
Image 87,0.6066500544548035,1,0,0,267,4,141,0.985239852398524,0.644927536231884,0.7795620437956204
Image 125,0.6062294840812683,1,0,0,268,4,141,0.9852941176470589,0.6473429951690821,0.7813411078717201
Image 74,0.5918521285057068,1,0,0,269,4,141,0.9853479853479854,0.6497584541062802,0.7831149927219796
Image 127,0.5528748035430908,1,0,0,270,4,141,0.9854014598540146,0.6521739130434783,0.7848837209302325
Image 36,0.5432196855545044,1,0,0,271,4,141,0.9854545454545455,0.6545893719806763,0.7866473149492017
Image 12,0.5421009063720703,1,0,0,272,4,141,0.9855072463768116,0.6570048309178744,0.7884057971014493
Image 19,0.5227795839309692,0,1,0,272,5,141,0.9819494584837545,0.6570048309178744,0.7872648335745297
Image 70,0.5181341767311096,1,0,0,273,5,141,0.9820143884892086,0.6594202898550725,0.7890173410404626
Image 3,0.5161051154136658,1,0,0,274,5,141,0.982078853046595,0.6618357487922706,0.7907647907647909
Image 64,0.514377236366272,1,0,0,275,5,141,0.9821428571428571,0.6642512077294686,0.7925072046109509
Image 9,0.4891872704029083,1,0,0,276,5,141,0.9822064056939501,0.6666666666666666,0.7942446043165468
Image 6,0.48345938324928284,1,0,0,277,5,141,0.9822695035460993,0.6690821256038647,0.7959770114942528
Image 65,0.46576857566833496,1,0,0,278,5,141,0.9823321554770318,0.6714975845410628,0.7977044476327116
Image 115,0.4591686427593231,0,1,0,278,6,141,0.9788732394366197,0.6714975845410628,0.7965616045845272
Image 111,0.4576452970504761,0,1,0,278,7,141,0.9754385964912281,0.6714975845410628,0.7954220314735336
Image 97,0.43567532300949097,1,0,0,279,7,141,0.9755244755244755,0.6739130434782609,0.7971428571428572
