Image,Confidence,TP,FP,TP_acc,FP_acc,Precision,Recall,F1
Image 50,0.9104491472244263,1,0,1,0,1.0,0.01282051282051282,0.0
Image 12,0.9038044810295105,1,0,2,0,1.0,0.02564102564102564,0.05
Image 44,0.8988819122314453,1,0,3,0,1.0,0.038461538461538464,0.07407407407407407
Image 47,0.8979582190513611,1,0,4,0,1.0,0.05128205128205128,0.09756097560975609
Image 30,0.8928499221801758,1,0,5,0,1.0,0.0641025641025641,0.12048192771084336
Image 35,0.889570415019989,1,0,6,0,1.0,0.07692307692307693,0.14285714285714288
Image 32,0.8866612315177917,1,0,7,0,1.0,0.08974358974358974,0.1647058823529412
Image 52,0.8840411305427551,1,0,8,0,1.0,0.10256410256410256,0.18604651162790695
Image 57,0.883698582649231,1,0,9,0,1.0,0.11538461538461539,0.20689655172413793
Image 46,0.8797606825828552,1,0,10,0,1.0,0.1282051282051282,0.22727272727272727
Image 13,0.8771832585334778,1,0,11,0,1.0,0.14102564102564102,0.24719101123595508
Image 38,0.873816728591919,1,0,12,0,1.0,0.15384615384615385,0.2666666666666667
Image 60,0.873803436756134,1,0,13,0,1.0,0.16666666666666666,0.2857142857142857
Image 43,0.8737283945083618,1,0,14,0,1.0,0.1794871794871795,0.30434782608695654
Image 50,0.8734877109527588,0,1,14,1,0.9333333333333333,0.1794871794871795,0.3010752688172043
Image 39,0.8714761137962341,1,0,15,1,0.9375,0.19230769230769232,0.3191489361702128
Image 16,0.870749294757843,1,0,16,1,0.9411764705882353,0.20512820512820512,0.3368421052631579
Image 48,0.8622706532478333,0,1,16,2,0.8888888888888888,0.20512820512820512,0.3333333333333333
Image 63,0.8621588945388794,1,0,17,2,0.8947368421052632,0.21794871794871795,0.3505154639175258
Image 31,0.8606882691383362,1,0,18,2,0.9,0.23076923076923078,0.3673469387755102
Image 54,0.8599141836166382,1,0,19,2,0.9047619047619048,0.24358974358974358,0.38383838383838387
Image 17,0.8528458476066589,1,0,20,2,0.9090909090909091,0.2564102564102564,0.3999999999999999
Image 36,0.8526313900947571,1,0,21,2,0.9130434782608695,0.2692307692307692,0.4158415841584158
Image 19,0.8412391543388367,1,0,22,2,0.9166666666666666,0.28205128205128205,0.4313725490196078
Image 37,0.8378888368606567,1,0,23,2,0.92,0.2948717948717949,0.44660194174757284
Image 22,0.8329146504402161,1,0,24,2,0.9230769230769231,0.3076923076923077,0.4615384615384615
Image 8,0.8289209604263306,1,0,25,2,0.9259259259259259,0.32051282051282054,0.4761904761904762
Image 42,0.8192516565322876,1,0,26,2,0.9285714285714286,0.3333333333333333,0.4905660377358491
Image 59,0.8180403709411621,1,0,27,2,0.9310344827586207,0.34615384615384615,0.5046728971962617
Image 53,0.8159264922142029,1,0,28,2,0.9333333333333333,0.358974358974359,0.5185185185185185
Image 40,0.8109792470932007,1,0,29,2,0.9354838709677419,0.3717948717948718,0.5321100917431193
Image 24,0.8094660639762878,1,0,30,2,0.9375,0.38461538461538464,0.5454545454545454
Image 27,0.804816722869873,1,0,31,2,0.9393939393939394,0.3974358974358974,0.5585585585585585
Image 55,0.8038113117218018,1,0,32,2,0.9411764705882353,0.41025641025641024,0.5714285714285713
Image 18,0.800428569316864,1,0,33,2,0.9428571428571428,0.4230769230769231,0.5840707964601769
Image 61,0.7969983220100403,1,0,34,2,0.9444444444444444,0.4358974358974359,0.5964912280701755
Image 26,0.7950910925865173,1,0,35,2,0.9459459459459459,0.44871794871794873,0.6086956521739131
Image 2,0.7948089838027954,1,0,36,2,0.9473684210526315,0.46153846153846156,0.6206896551724138
Image 34,0.7924595475196838,1,0,37,2,0.9487179487179487,0.47435897435897434,0.6324786324786326
Image 10,0.7834283113479614,1,0,38,2,0.95,0.48717948717948717,0.6440677966101694
Image 58,0.7812272906303406,1,0,39,2,0.9512195121951219,0.5,0.6554621848739496
Image 21,0.7747288942337036,1,0,40,2,0.9523809523809523,0.5128205128205128,0.6666666666666666
Image 14,0.7642268538475037,1,0,41,2,0.9534883720930233,0.5256410256410257,0.6776859504132232
Image 4,0.7613670229911804,1,0,42,2,0.9545454545454546,0.5384615384615384,0.6885245901639344
Image 3,0.7597260475158691,1,0,43,2,0.9555555555555556,0.5512820512820513,0.6991869918699188
Image 20,0.7579807639122009,1,0,44,2,0.9565217391304348,0.5641025641025641,0.7096774193548387
Image 62,0.7479043006896973,1,0,45,2,0.9574468085106383,0.5769230769230769,0.7200000000000001
Image 29,0.741266667842865,1,0,46,2,0.9583333333333334,0.5897435897435898,0.7301587301587301
Image 0,0.7372597455978394,1,0,47,2,0.9591836734693877,0.6025641025641025,0.7401574803149606
Image 25,0.7298941016197205,1,0,48,2,0.96,0.6153846153846154,0.7500000000000001
Image 40,0.7157246470451355,1,0,49,2,0.9607843137254902,0.6282051282051282,0.7596899224806201
Image 28,0.7106879353523254,1,0,50,2,0.9615384615384616,0.6410256410256411,0.7692307692307693
Image 56,0.7085347175598145,1,0,51,2,0.9622641509433962,0.6538461538461539,0.7786259541984734
Image 45,0.7026137113571167,1,0,52,2,0.9629629629629629,0.6666666666666666,0.7878787878787878
Image 55,0.6965778470039368,1,0,53,2,0.9636363636363636,0.6794871794871795,0.7969924812030076
Image 7,0.695065438747406,1,0,54,2,0.9642857142857143,0.6923076923076923,0.8059701492537313
Image 49,0.6895328760147095,1,0,55,2,0.9649122807017544,0.7051282051282052,0.8148148148148149
Image 15,0.6852867603302002,1,0,56,2,0.9655172413793104,0.717948717948718,0.8235294117647058
Image 40,0.6710740923881531,1,0,57,2,0.9661016949152542,0.7307692307692307,0.8321167883211679
Image 23,0.6648890972137451,1,0,58,2,0.9666666666666667,0.7435897435897436,0.8405797101449275
Image 62,0.6642172932624817,1,0,59,2,0.9672131147540983,0.7564102564102564,0.8489208633093525
Image 23,0.6633592844009399,0,1,59,3,0.9516129032258065,0.7564102564102564,0.8428571428571429
Image 41,0.6453059315681458,1,0,60,3,0.9523809523809523,0.7692307692307693,0.8510638297872339
Image 9,0.6287676692008972,1,0,61,3,0.953125,0.782051282051282,0.8591549295774649
Image 6,0.627666175365448,1,0,62,3,0.9538461538461539,0.7948717948717948,0.8671328671328672
Image 1,0.5827516913414001,1,0,63,3,0.9545454545454546,0.8076923076923077,0.875
Image 5,0.5800037384033203,1,0,64,3,0.9552238805970149,0.8205128205128205,0.8827586206896552
Image 20,0.5649598240852356,1,0,65,3,0.9558823529411765,0.8333333333333334,0.8904109589041096
Image 48,0.513910174369812,1,0,66,3,0.9565217391304348,0.8461538461538461,0.8979591836734695
